team,rating_date,elo,source,notes
Spain,2026-06-10T00:00:00Z,2157,seed_demo,"Approx/demo only; replace with World Football Elo snapshot"
France,2026-06-10T00:00:00Z,2120,seed_demo,"Approx/demo only"
Argentina,2026-06-10T00:00:00Z,2105,seed_demo,"Approx/demo only"
Brazil,2026-06-10T00:00:00Z,2085,seed_demo,"Approx/demo only"
Germany,2026-06-10T00:00:00Z,2050,seed_demo,"Approx/demo only"
England,2026-06-10T00:00:00Z,2040,seed_demo,"Approx/demo only"
Portugal,2026-06-10T00:00:00Z,2025,seed_demo,"Approx/demo only"
Netherlands,2026-06-10T00:00:00Z,1995,seed_demo,"Approx/demo only"
Belgium,2026-06-10T00:00:00Z,1970,seed_demo,"Approx/demo only"
Uruguay,2026-06-10T00:00:00Z,1950,seed_demo,"Approx/demo only"
Colombia,2026-06-10T00:00:00Z,1930,seed_demo,"Approx/demo only"
Croatia,2026-06-10T00:00:00Z,1900,seed_demo,"Approx/demo only"
Mexico,2026-06-10T00:00:00Z,1870,seed_demo,"Approx/demo only"
United States,2026-06-10T00:00:00Z,1850,seed_demo,"Approx/demo only"
Switzerland,2026-06-10T00:00:00Z,1840,seed_demo,"Approx/demo only"
Morocco,2026-06-10T00:00:00Z,1835,seed_demo,"Approx/demo only"
Japan,2026-06-10T00:00:00Z,1810,seed_demo,"Approx/demo only"
Korea Republic,2026-06-10T00:00:00Z,1760,seed_demo,"Approx/demo only"
Senegal,2026-06-10T00:00:00Z,1750,seed_demo,"Approx/demo only"
Norway,2026-06-10T00:00:00Z,1740,seed_demo,"Approx/demo only"
Sweden,2026-06-10T00:00:00Z,1735,seed_demo,"Approx/demo only"
Turkey,2026-06-10T00:00:00Z,1720,seed_demo,"Approx/demo only"
Czechia,2026-06-10T00:00:00Z,1710,seed_demo,"Approx/demo only"
Australia,2026-06-10T00:00:00Z,1690,seed_demo,"Approx/demo only"
Iran,2026-06-10T00:00:00Z,1680,seed_demo,"Approx/demo only"
Scotland,2026-06-10T00:00:00Z,1675,seed_demo,"Approx/demo only"
Egypt,2026-06-10T00:00:00Z,1670,seed_demo,"Approx/demo only"
Algeria,2026-06-10T00:00:00Z,1660,seed_demo,"Approx/demo only"
Paraguay,2026-06-10T00:00:00Z,1655,seed_demo,"Approx/demo only"
Saudi Arabia,2026-06-10T00:00:00Z,1640,seed_demo,"Approx/demo only"
Tunisia,2026-06-10T00:00:00Z,1635,seed_demo,"Approx/demo only"
South Africa,2026-06-10T00:00:00Z,1620,seed_demo,"Approx/demo only"
Qatar,2026-06-10T00:00:00Z,1610,seed_demo,"Approx/demo only"
Bosnia,2026-06-10T00:00:00Z,1605,seed_demo,"Approx/demo only"
Congo DR,2026-06-10T00:00:00Z,1595,seed_demo,"Approx/demo only"
Uzbekistan,2026-06-10T00:00:00Z,1585,seed_demo,"Approx/demo only"
Haiti,2026-06-10T00:00:00Z,1560,seed_demo,"Approx/demo only"
Iraq,2026-06-10T00:00:00Z,1550,seed_demo,"Approx/demo only"
Cape Verde,2026-06-10T00:00:00Z,1530,seed_demo,"Approx/demo only"
Curacao,2026-06-10T00:00:00Z,1490,seed_demo,"Approx/demo only"
New Zealand,2026-06-10T00:00:00Z,1460,seed_demo,"Approx/demo only"
Canada,2026-06-10T00:00:00Z,1700,seed_demo,"Approx/demo only"
