match_id,kickoff_utc,tournament,stage,group,matchday,team_a,team_b,goals_a,goals_b,venue,neutral,data_source,notes
2026_A_01,2026-06-11T19:00:00Z,2026 FIFA World Cup,group,A,1,Mexico,South Africa,2,0,,false,Reuters Jun 18 2026,"Seed snapshot; update before betting"
2026_A_02,2026-06-12T19:00:00Z,2026 FIFA World Cup,group,A,1,Korea Republic,Czechia,2,1,,true,Reuters Jun 18 2026,"Seed snapshot; update before betting"
2026_A_03,2026-06-18T16:00:00Z,2026 FIFA World Cup,group,A,2,Czechia,South Africa,,,,true,Reuters Jun 18 2026,"Upcoming at source time"
2026_A_04,2026-06-19T01:00:00Z,2026 FIFA World Cup,group,A,2,Mexico,Korea Republic,,,,false,Reuters Jun 18 2026,"Upcoming at source time"
2026_A_05,2026-06-25T01:00:00Z,2026 FIFA World Cup,group,A,3,Czechia,Mexico,,,,true,Reuters Jun 18 2026,"Upcoming at source time"
2026_A_06,2026-06-25T01:00:00Z,2026 FIFA World Cup,group,A,3,South Africa,Korea Republic,,,,true,Reuters Jun 18 2026,"Upcoming at source time"
2026_B_01,2026-06-12T22:00:00Z,2026 FIFA World Cup,group,B,1,Canada,Bosnia,1,1,Toronto Stadium,false,Reuters Jun 18 2026,"Seed snapshot; update before betting"
2026_B_02,2026-06-13T22:00:00Z,2026 FIFA World Cup,group,B,1,Qatar,Switzerland,1,1,,true,Reuters/SBNation Jun 18 2026,"Seed snapshot; update before betting"
2026_C_01,2026-06-13T19:00:00Z,2026 FIFA World Cup,group,C,1,Brazil,Morocco,1,1,,true,SBNation Jun 18 2026,"Seed snapshot; update before betting"
2026_C_02,2026-06-13T22:00:00Z,2026 FIFA World Cup,group,C,1,Scotland,Haiti,1,0,,true,SBNation Jun 18 2026,"Seed snapshot; update before betting"
2026_D_01,2026-06-14T22:00:00Z,2026 FIFA World Cup,group,D,1,United States,Paraguay,4,1,,false,Reuters Jun 18 2026,"Seed snapshot; update before betting"
2026_D_02,2026-06-14T19:00:00Z,2026 FIFA World Cup,group,D,1,Australia,Turkey,,,,true,Reuters Jun 18 2026,"Reuters says Australia defeated Turkey; score not included in snippet"
2026_E_01,2026-06-15T19:00:00Z,2026 FIFA World Cup,group,E,1,Germany,Curacao,7,1,,true,Reuters Jun 18 2026,"Seed snapshot; update before betting"
2026_F_01,2026-06-15T22:00:00Z,2026 FIFA World Cup,group,F,1,Sweden,Tunisia,,,,true,Reuters Jun 18 2026,"Reuters says Sweden crushed Tunisia; score not included in snippet"
2026_G_01,2026-06-16T19:00:00Z,2026 FIFA World Cup,group,G,1,Belgium,Egypt,1,1,,true,SBNation Jun 18 2026,"Seed snapshot; update before betting"
2026_G_02,2026-06-16T22:00:00Z,2026 FIFA World Cup,group,G,1,Iran,New Zealand,2,2,,true,SBNation Jun 18 2026,"Seed snapshot; update before betting"
2026_H_01,2026-06-17T19:00:00Z,2026 FIFA World Cup,group,H,1,Spain,Cape Verde,0,0,,true,Reuters/Guardian Jun 18 2026,"Seed snapshot; update before betting"
2026_H_02,2026-06-17T22:00:00Z,2026 FIFA World Cup,group,H,1,Saudi Arabia,Uruguay,1,1,,true,SBNation Jun 18 2026,"Seed snapshot; update before betting"
2026_I_01,2026-06-16T18:00:00Z,2026 FIFA World Cup,group,I,1,France,Senegal,3,1,,true,Reuters Jun 18 2026,"Seed snapshot; update before betting"
2026_I_02,2026-06-16T21:00:00Z,2026 FIFA World Cup,group,I,1,Iraq,Norway,1,4,,true,Reuters Jun 18 2026,"Seed snapshot; update before betting"
2026_I_03,2026-06-22T21:00:00Z,2026 FIFA World Cup,group,I,2,France,Iraq,,,,true,Reuters Jun 18 2026,"Upcoming at source time"
2026_I_04,2026-06-23T00:00:00Z,2026 FIFA World Cup,group,I,2,Norway,Senegal,,,,true,Reuters Jun 18 2026,"Upcoming at source time"
2026_I_05,2026-06-26T19:00:00Z,2026 FIFA World Cup,group,I,3,Norway,France,,,,true,Reuters Jun 18 2026,"Upcoming at source time"
2026_I_06,2026-06-26T19:00:00Z,2026 FIFA World Cup,group,I,3,Senegal,Iraq,,,,true,Reuters Jun 18 2026,"Upcoming at source time"
2026_J_01,2026-06-17T18:00:00Z,2026 FIFA World Cup,group,J,1,Argentina,Algeria,3,0,,true,Reuters Jun 18 2026,"Seed snapshot; update before betting"
2026_K_01,2026-06-17T22:00:00Z,2026 FIFA World Cup,group,K,1,Portugal,Congo DR,1,1,,true,Reuters/SBNation Jun 18 2026,"Seed snapshot; update before betting"
2026_K_02,2026-06-18T20:00:00Z,2026 FIFA World Cup,group,K,1,Uzbekistan,Colombia,,,,true,Guardian Jun 18 2026,"Guardian live report indicated match on Jun 18; update result manually"
2026_L_01,2026-06-18T16:00:00Z,2026 FIFA World Cup,group,L,1,England,Croatia,4,2,,true,Reuters Jun 18 2026,"Seed snapshot; update before betting"
2026_L_02,2026-06-18T19:00:00Z,2026 FIFA World Cup,group,L,1,Netherlands,Japan,2,2,,true,SBNation Jun 18 2026,"Seed snapshot; update before betting"
