canonical_match_id,provider_fixture_id,label,cohort,comp_type,region,league,season,kickoff_utc,status,eligibility,inclusion_rule,expected_endpoints,raw_status,reconciliation_status
6/2023/2024-01-13/1501/1513,1138697,AFCON_2023,A,international,CAF,6,2023,2024-01-13T20:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-14/19/1521,1138698,AFCON_2023,A,international,CAF,6,2023,2024-01-14T14:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-14/32/1512,1138699,AFCON_2023,A,international,CAF,6,2023,2024-01-14T17:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-14/1504/1533,1138700,AFCON_2023,A,international,CAF,6,2023,2024-01-14T20:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-15/13/1492,1138701,AFCON_2023,A,international,CAF,6,2023,2024-01-15T14:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-15/1530/1509,1138702,AFCON_2023,A,international,CAF,6,2023,2024-01-15T17:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-15/1532/1529,1138703,AFCON_2023,A,international,CAF,6,2023,2024-01-15T20:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-16/1502/1491,1138704,AFCON_2023,A,international,CAF,6,2023,2024-01-16T14:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-16/28/1493,1138705,AFCON_2023,A,international,CAF,6,2023,2024-01-16T17:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-16/1500/1531,1138706,AFCON_2023,A,international,CAF,6,2023,2024-01-16T20:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-17/31/1489,1138707,AFCON_2023,A,international,CAF,6,2023,2024-01-17T17:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-17/1508/1507,1138708,AFCON_2023,A,international,CAF,6,2023,2024-01-17T20:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-18/1521/1513,1138709,AFCON_2023,A,international,CAF,6,2023,2024-01-18T14:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-18/1501/19,1138710,AFCON_2023,A,international,CAF,6,2023,2024-01-18T17:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-18/32/1504,1138712,AFCON_2023,A,international,CAF,6,2023,2024-01-18T20:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-19/1533/1512,1138714,AFCON_2023,A,international,CAF,6,2023,2024-01-19T14:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-19/13/1530,1138711,AFCON_2023,A,international,CAF,6,2023,2024-01-19T17:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
6/2023/2024-01-19/1509/1492,1138713,AFCON_2023,A,international,CAF,6,2023,2024-01-19T20:00:00+00:00,FT,included,cohort_A_all_completed,"events,lineups",pending,pending
