canonical_match_id,provider_fixture_id,label,cohort,comp_type,region,league,season,kickoff_utc,status,inclusion_rule
78/2023/2023-10-06/163/164,1048940,Bundesliga_2023,B,club,Germany,78,2023,2023-10-06T18:30:00+00:00,FT,extension_next_220_manifest_order
61/2023/2023-09-29/95/116,1044935,Ligue1_2023,B,club,France,61,2023,2023-09-29T19:00:00+00:00,FT,extension_next_220_manifest_order
39/2023/2023-09-24/42/47,1035087,EPL_2023,B,club,England,39,2023,2023-09-24T13:00:00+00:00,FT,extension_next_220_manifest_order
140/2023/2023-09-24/728/533,1038008,LaLiga_2023,B,club,Spain,140,2023,2023-09-24T14:15:00+00:00,FT,extension_next_220_manifest_order
135/2023/2023-09-27/492/494,1052312,SerieA_2023,B,club,Italy,135,2023,2023-09-27T18:45:00+00:00,FT,extension_next_220_manifest_order
78/2023/2023-10-07/165/182,1048936,Bundesliga_2023,B,club,Germany,78,2023,2023-10-07T13:30:00+00:00,FT,extension_next_220_manifest_order
61/2023/2023-09-30/99/85,1044941,Ligue1_2023,B,club,France,61,2023,2023-09-30T15:00:00+00:00,FT,extension_next_220_manifest_order
39/2023/2023-09-24/49/66,1035091,EPL_2023,B,club,England,39,2023,2023-09-24T13:00:00+00:00,FT,extension_next_220_manifest_order
140/2023/2023-09-24/534/715,1038011,LaLiga_2023,B,club,Spain,140,2023,2023-09-24T16:30:00+00:00,FT,extension_next_220_manifest_order
135/2023/2023-09-27/505/488,1052308,SerieA_2023,B,club,Italy,135,2023,2023-09-27T18:45:00+00:00,FT,extension_next_220_manifest_order
78/2023/2023-10-07/170/181,1048942,Bundesliga_2023,B,club,Germany,78,2023,2023-10-07T13:30:00+00:00,FT,extension_next_220_manifest_order
61/2023/2023-09-30/91/81,1044939,Ligue1_2023,B,club,France,61,2023,2023-09-30T19:00:00+00:00,FT,extension_next_220_manifest_order
39/2023/2023-09-24/51/35,1035089,EPL_2023,B,club,England,39,2023,2023-09-24T13:00:00+00:00,FT,extension_next_220_manifest_order
140/2023/2023-09-24/543/724,1038005,LaLiga_2023,B,club,Spain,140,2023,2023-09-24T16:30:00+00:00,FT,extension_next_220_manifest_order
135/2023/2023-09-28/512/502,1052305,SerieA_2023,B,club,Italy,135,2023,2023-09-28T16:30:00+00:00,FT,extension_next_220_manifest_order
78/2023/2023-10-07/172/161,1048943,Bundesliga_2023,B,club,Germany,78,2023,2023-10-07T13:30:00+00:00,FT,extension_next_220_manifest_order
61/2023/2023-10-01/93/80,1044942,Ligue1_2023,B,club,France,61,2023,2023-10-01T11:00:00+00:00,FT,extension_next_220_manifest_order
39/2023/2023-09-24/62/34,1035096,EPL_2023,B,club,England,39,2023,2023-09-24T15:30:00+00:00,FT,extension_next_220_manifest_order
140/2023/2023-09-24/530/541,1038003,LaLiga_2023,B,club,Spain,140,2023,2023-09-24T19:00:00+00:00,FT,extension_next_220_manifest_order
135/2023/2023-09-28/1579/500,1052311,SerieA_2023,B,club,Italy,135,2023,2023-09-28T16:30:00+00:00,FT,extension_next_220_manifest_order
78/2023/2023-10-07/173/176,1048937,Bundesliga_2023,B,club,Germany,78,2023,2023-10-07T13:30:00+00:00,FT,extension_next_220_manifest_order
61/2023/2023-10-01/84/106,1044940,Ligue1_2023,B,club,France,61,2023,2023-10-01T13:00:00+00:00,FT,extension_next_220_manifest_order
