sb_match_id,api_fixture_id,competition_label,kickoff_date,bridge_confidence,comp_type,raw_corpus,reconciled_corpus,international_population,exact_bridge_population,xg_snapshot_population,event_process_population,residual_population,primary_evaluation_population,loco_evaluation_population,dropped_at_stage,drop_reason,drop_detail
3939969,1189120,Copa America 2024,2024-06-21,exact,international,1,1,1,1,1,1,1,1,1,,,
3939970,1146301,Copa America 2024,2024-06-22,exact,international,1,1,1,1,1,1,1,1,1,,,
3939972,1146302,Copa America 2024,2024-06-22,exact,international,1,1,1,1,1,1,1,1,1,,,
3939971,1146303,Copa America 2024,2024-06-23,exact,international,1,1,1,1,1,1,1,1,1,,,
3939974,1146304,Copa America 2024,2024-06-23,exact,international,1,1,1,1,1,1,1,1,1,,,
3939973,1146305,Copa America 2024,2024-06-24,exact,international,1,1,1,1,1,1,1,1,1,,,
3939975,1146306,Copa America 2024,2024-06-24,exact,international,1,1,1,1,1,1,1,1,1,,,
3939976,1189121,Copa America 2024,2024-06-25,exact,international,1,1,1,1,1,1,1,1,1,,,
3939977,1146307,Copa America 2024,2024-06-26,exact,international,1,1,1,1,1,1,1,1,1,,,
3939979,1146309,Copa America 2024,2024-06-27,exact,international,1,1,1,1,1,1,1,1,1,,,
3939982,1146311,Copa America 2024,2024-06-28,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3939983,1146312,Copa America 2024,2024-06-29,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3939986,1146313,Copa America 2024,2024-06-30,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3939985,1189124,Copa America 2024,2024-06-30,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3939987,1146314,Copa America 2024,2024-07-01,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3939988,1146315,Copa America 2024,2024-07-01,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3939989,1146316,Copa America 2024,2024-07-02,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3939990,1146317,Copa America 2024,2024-07-02,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3939991,1146318,Copa America 2024,2024-07-03,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3939992,1189125,Copa America 2024,2024-07-03,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3942228,1219957,Copa America 2024,2024-07-05,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3942229,1219958,Copa America 2024,2024-07-06,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3942416,1222459,Copa America 2024,2024-07-06,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3942415,1222460,Copa America 2024,2024-07-07,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3942785,1227537,Copa America 2024,2024-07-10,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3942852,1227538,Copa America 2024,2024-07-11,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3943076,1234029,Copa America 2024,2024-07-14,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
3943077,1234030,Copa America 2024,2024-07-15,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7525,135777,FIFA World Cup 2018,2018-06-14,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7578,135778,FIFA World Cup 2018,2018-06-15,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7577,135779,FIFA World Cup 2018,2018-06-15,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7576,135780,FIFA World Cup 2018,2018-06-15,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7530,135781,FIFA World Cup 2018,2018-06-16,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7531,135782,FIFA World Cup 2018,2018-06-16,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7532,135783,FIFA World Cup 2018,2018-06-16,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7529,135784,FIFA World Cup 2018,2018-06-16,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7535,135785,FIFA World Cup 2018,2018-06-17,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7534,135786,FIFA World Cup 2018,2018-06-17,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7533,135787,FIFA World Cup 2018,2018-06-17,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7538,135788,FIFA World Cup 2018,2018-06-18,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7536,135789,FIFA World Cup 2018,2018-06-18,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7537,135790,FIFA World Cup 2018,2018-06-18,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7541,135791,FIFA World Cup 2018,2018-06-19,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7539,135792,FIFA World Cup 2018,2018-06-19,exact,international,1,1,1,1,1,1,1,0,1,primary_evaluation_population,held_out_fold_rule,earliest competition 'FIFA World Cup 2018' is train-only in the forward chain (no earlier competition to train on); never a forward-chain test fold
7540,135793,FIFA World Cup 2018,2018-06-19,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7542,135794,FIFA World Cup 2018,2018-06-20,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7544,135795,FIFA World Cup 2018,2018-06-20,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7543,135796,FIFA World Cup 2018,2018-06-20,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7547,135797,FIFA World Cup 2018,2018-06-21,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7546,135798,FIFA World Cup 2018,2018-06-21,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7545,135799,FIFA World Cup 2018,2018-06-21,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7548,135800,FIFA World Cup 2018,2018-06-22,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7549,135801,FIFA World Cup 2018,2018-06-22,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7550,135802,FIFA World Cup 2018,2018-06-22,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7552,135803,FIFA World Cup 2018,2018-06-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7553,135804,FIFA World Cup 2018,2018-06-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7551,135805,FIFA World Cup 2018,2018-06-23,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7554,135806,FIFA World Cup 2018,2018-06-24,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7556,135807,FIFA World Cup 2018,2018-06-24,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
7555,135808,FIFA World Cup 2018,2018-06-24,exact,international,1,1,1,1,0,0,0,0,0,event_process_population,missing_statsbomb_events,exact intl bridge match has no StatsBomb event JSON in the on-disk read-only cache (prior pull pruned); cannot produce leakage-safe snapshots
