rank,match_id,competition_id,season_id,competition,season,match_date,home,away
1,3890273,9,27,1. Bundesliga,2015/2016,2015-08-22,Hannover 96,Bayer Leverkusen
2,3895302,9,281,1. Bundesliga,2023/2024,2024-04-14,Bayer Leverkusen,Werder Bremen
3,3888711,16,276,Champions League,1970/1971,1971-06-02,Ajax,Panathinaikos
4,3750235,16,71,Champions League,1971/1972,1972-05-31,Ajax,Inter Milan
5,3888706,16,277,Champions League,1972/1973,1973-05-30,Ajax,Juventus
6,3750240,16,76,Champions League,1999/2000,1999-11-23,Fiorentina,Manchester United
7,3752619,16,44,Champions League,2003/2004,2004-05-26,AS Monaco,FC Porto
8,2302764,16,37,Champions League,2004/2005,2005-05-25,AC Milan,Liverpool
9,3750200,16,39,Champions League,2006/2007,2007-05-23,AC Milan,Liverpool
10,3750201,16,41,Champions League,2008/2009,2009-05-27,Barcelona,Manchester United
11,18235,16,21,Champions League,2009/2010,2010-05-22,Bayern Munich,Inter Milan
12,18236,16,22,Champions League,2010/2011,2011-05-28,Barcelona,Manchester United
13,18237,16,23,Champions League,2011/2012,2012-05-19,Bayern Munich,Chelsea
14,18240,16,24,Champions League,2012/2013,2013-05-25,Borussia Dortmund,Bayern Munich
15,18241,16,25,Champions League,2013/2014,2014-05-24,Real Madrid,Atlético Madrid
16,18242,16,26,Champions League,2014/2015,2015-06-06,Juventus,Barcelona
17,18243,16,27,Champions League,2015/2016,2016-05-28,Real Madrid,Atlético Madrid
18,18244,16,2,Champions League,2016/2017,2017-06-03,Juventus,Real Madrid
19,18245,16,1,Champions League,2017/2018,2018-05-26,Real Madrid,Liverpool
20,22912,16,4,Champions League,2018/2019,2019-06-01,Tottenham Hotspur,Liverpool
21,3888754,87,279,Copa del Rey,1977/1978,1978-04-19,Barcelona,Las Palmas
22,3888721,87,268,Copa del Rey,1982/1983,1983-06-04,Barcelona,Real Madrid
23,3750248,87,84,Copa del Rey,1983/1984,1984-05-05,Athletic Club,Barcelona
24,3888787,1470,274,FIFA U20 World Cup,1979,1979-09-07,Argentina U20,Soviet Union U20
25,3817871,1238,108,Indian Super league,2021/2022,2022-01-31,NorthEast United,SC Delhi
26,3888713,11,278,La Liga,1973/1974,1974-02-17,Real Madrid,Barcelona
27,68316,11,37,La Liga,2004/2005,2005-05-01,Barcelona,Albacete
28,68339,11,38,La Liga,2005/2006,2005-11-06,Getafe,Barcelona
29,68327,11,39,La Liga,2006/2007,2006-09-09,Barcelona,Osasuna
30,69144,11,40,La Liga,2007/2008,2007-10-07,Barcelona,Atlético Madrid
31,69231,11,41,La Liga,2008/2009,2009-02-08,Barcelona,Sporting Gijón
32,69224,11,21,La Liga,2009/2010,2010-03-14,Barcelona,Valencia
