official_sb_match_id,competition,season,competition_label,match_date,official_norm_home,official_norm_away,official_fulltime_result,local_bridge_id,local_sb_match_id,local_regulation_result,orientation,classification
3920384,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-13,cote divoire,guinea bissau,home,,,,,missing_local_match
3920385,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-14,egypt,mozambique,draw,,,,,missing_local_match
3920386,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-14,nigeria,equatorial guinea,draw,,,,,missing_local_match
3920387,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-14,ghana,cape verde,away,,,,,missing_local_match
3920388,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-15,senegal,gambia,home,,,,,missing_local_match
3920389,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-15,cameroon,guinea,draw,,,,,missing_local_match
3920390,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-15,algeria,angola,draw,,,,,missing_local_match
3920391,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-16,mali,south africa,home,,,,,missing_local_match
3920392,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-16,burkina faso,mauritania,home,,,,,missing_local_match
3920393,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-16,tunisia,namibia,away,,,,,missing_local_match
3920394,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-17,morocco,tanzania,home,,,,,missing_local_match
3920395,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-17,congo dr,zambia,draw,,,,,missing_local_match
3920396,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-18,egypt,ghana,draw,,,,,missing_local_match
3920397,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-18,equatorial guinea,guinea bissau,home,,,,,missing_local_match
3920398,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-18,cote divoire,nigeria,away,,,,,missing_local_match
3920399,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-19,cape verde,mozambique,home,,,,,missing_local_match
3920400,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-19,senegal,cameroon,home,,,,,missing_local_match
3920401,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-19,guinea,gambia,home,,,,,missing_local_match
3920402,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-20,algeria,burkina faso,draw,,,,,missing_local_match
3920403,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-20,mauritania,angola,away,,,,,missing_local_match
3920404,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-20,tunisia,mali,draw,,,,,missing_local_match
3920405,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-21,morocco,congo dr,draw,,,,,missing_local_match
3920406,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-21,zambia,tanzania,draw,,,,,missing_local_match
3920407,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-21,south africa,namibia,home,,,,,missing_local_match
3920408,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-22,equatorial guinea,cote divoire,home,,,,,missing_local_match
3920409,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-22,guinea bissau,nigeria,away,,,,,missing_local_match
3920410,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-22,mozambique,ghana,draw,,,,,missing_local_match
3920411,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-22,cape verde,egypt,draw,,,,,missing_local_match
3920412,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-23,guinea,senegal,away,,,,,missing_local_match
3920413,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-23,gambia,cameroon,away,,,,,missing_local_match
3920414,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-23,angola,burkina faso,home,,,,,missing_local_match
3920415,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-23,mauritania,algeria,home,,,,,missing_local_match
3920416,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-24,south africa,tunisia,draw,,,,,missing_local_match
3920417,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-24,namibia,mali,draw,,,,,missing_local_match
3920418,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-24,tanzania,congo dr,draw,,,,,missing_local_match
3920419,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-24,zambia,morocco,away,,,,,missing_local_match
3922237,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-27,angola,namibia,home,,,,,missing_local_match
3922238,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-27,nigeria,cameroon,home,,,,,missing_local_match
3922239,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-28,equatorial guinea,guinea,away,,,,,missing_local_match
3922240,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-28,egypt,congo dr,draw,,,,,missing_local_match
3922241,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-29,cape verde,mauritania,home,,,,,missing_local_match
3922242,African Cup of Nations,2023,African Cup of Nations 2023,2024-01-29,senegal,cote divoire,draw,,,,,missing_local_match
