match_id,home,away,kickoff_utc,stage,round,status,state,reason,elo_delta_home,anchor_p_home,anchor_p_draw,anchor_p_away,scheduled_windows,source_dependencies,frozen_model_version,ledger_path,scoring_status
1489369,Mexico,South Africa,2026-06-11T19:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1538999,South Korea,Czechia,2026-06-12T02:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539000,Canada,Bosnia & Herzegovina,2026-06-12T19:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489370,USA,Paraguay,2026-06-13T01:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489373,Qatar,Switzerland,2026-06-13T19:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489371,Brazil,Morocco,2026-06-13T22:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489372,Haiti,Scotland,2026-06-14T01:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539001,Australia,Türkiye,2026-06-14T04:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489374,Germany,Curaçao,2026-06-14T17:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489376,Netherlands,Japan,2026-06-14T20:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489375,Ivory Coast,Ecuador,2026-06-14T23:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539002,Sweden,Tunisia,2026-06-15T02:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489380,Spain,Cape Verde Islands,2026-06-15T16:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489377,Belgium,Egypt,2026-06-15T19:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489379,Saudi Arabia,Uruguay,2026-06-15T22:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489378,Iran,New Zealand,2026-06-16T01:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489383,France,Senegal,2026-06-16T19:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539016,Iraq,Norway,2026-06-16T22:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489381,Argentina,Algeria,2026-06-17T01:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489382,Austria,Jordan,2026-06-17T04:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539003,Portugal,Congo DR,2026-06-17T17:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489384,England,Croatia,2026-06-17T20:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489385,Ghana,Panama,2026-06-17T23:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489386,Uzbekistan,Colombia,2026-06-18T02:00:00+00:00,group,Group Stage - 1,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539004,Czechia,South Africa,2026-06-18T16:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539005,Switzerland,Bosnia & Herzegovina,2026-06-18T19:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489387,Canada,Qatar,2026-06-18T22:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489388,Mexico,South Korea,2026-06-19T01:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489391,USA,Australia,2026-06-19T19:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489390,Scotland,Morocco,2026-06-19T22:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489389,Brazil,Haiti,2026-06-20T00:30:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539006,Türkiye,Paraguay,2026-06-20T03:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539007,Netherlands,Sweden,2026-06-20T17:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489393,Germany,Ivory Coast,2026-06-20T20:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489392,Ecuador,Curaçao,2026-06-21T00:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489394,Tunisia,Japan,2026-06-21T04:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489397,Spain,Saudi Arabia,2026-06-21T16:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489395,Belgium,Iran,2026-06-21T19:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489398,Uruguay,Cape Verde Islands,2026-06-21T22:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489396,New Zealand,Egypt,2026-06-22T01:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489399,Argentina,Austria,2026-06-22T17:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1539017,France,Iraq,2026-06-22T21:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489401,Norway,Senegal,2026-06-23T00:00:00+00:00,group,Group Stage - 2,FT,skipped,completed_not_clean_prospective,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489400,Jordan,Algeria,2026-06-23T03:00:00+00:00,group,Group Stage - 2,1H,skipped,in_progress_or_other_status:1H,,,,,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
1489404,Portugal,Uzbekistan,2026-06-23T17:00:00+00:00,group,Group Stage - 2,NS,eligible,,260.59644861978995,0.7060356691247571,0.17753287654904693,0.11643145432619594,T-90;T-15;m0;m15;m30;HT;m60;m75;m85,pre_match:elo_history(deterministic);in_play:api_football_events,m2_frozen@v2,data/processed/prospective/ledger.jsonl,pending
