feature,class,reason,transfer_eligible,single_domain_gate
goals_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
players_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
yellow_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
sendoff_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
subs_used_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
poss_share_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
field_tilt_home,transfer_eligible,kept_single_domain_availability_gate,True,True
final_third_actions_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
box_entries_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
recoveries_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
turnovers_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
corners_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
att_free_kicks_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
shots_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
shots_on_target_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
cum_xg_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
cum_xg_total,transfer_eligible,kept_single_domain_availability_gate,True,True
xg_last5m_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
xg_last10m_diff,transfer_eligible,kept_single_domain_availability_gate,True,True
poss_actions_home,always_excluded,domain_shifted_logging_density_or_provenance,False,True
poss_actions_away,always_excluded,domain_shifted_logging_density_or_provenance,False,True
n_events_observed,always_excluded,domain_shifted_logging_density_or_provenance,False,True
