sb_match_id,competition,season,competition_id,season_id,competition_label,match_date,home,away,norm_home,norm_away,home_score,away_score,fulltime_result,competition_stage,match_status,source_url
3920384,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-13,Côte d'Ivoire,Guinea-Bissau,cote divoire,guinea bissau,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920385,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-14,Egypt,Mozambique,egypt,mozambique,2,2,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920386,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-14,Nigeria,Equatorial Guinea,nigeria,equatorial guinea,1,1,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920387,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-14,Ghana,Cape Verde Islands,ghana,cape verde,1,2,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920388,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-15,Senegal,Gambia,senegal,gambia,3,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920389,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-15,Cameroon,Guinea,cameroon,guinea,1,1,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920390,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-15,Algeria,Angola,algeria,angola,1,1,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920391,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-16,Mali,South Africa,mali,south africa,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920392,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-16,Burkina Faso,Mauritania,burkina faso,mauritania,1,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920393,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-16,Tunisia,Namibia,tunisia,namibia,0,1,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
