match_id,model_version,prediction_timestamp,source_snapshot_timestamp,kickoff_utc,approval_status,row_index,valid,reasons
2026_G_0621_BelIra,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T19:00:00+00:00,approved,0,True,
2026_G_0621_BelIra,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T19:00:00+00:00,shadow,1,True,
2026_G_0621_BelIra,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T19:00:00+00:00,shadow,2,True,
2026_G_0621_BelIra,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T19:00:00+00:00,shadow,3,True,
2026_G_0621_BelIra,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T19:00:00+00:00,shadow,4,True,
2026_H_0621_UruCap,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T22:00:00+00:00,approved,5,True,
2026_H_0621_UruCap,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T22:00:00+00:00,shadow,6,True,
2026_H_0621_UruCap,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T22:00:00+00:00,shadow,7,True,
2026_H_0621_UruCap,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T22:00:00+00:00,shadow,8,True,
2026_H_0621_UruCap,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-21T22:00:00+00:00,shadow,9,True,
2026_G_0622_NewEgy,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T01:00:00+00:00,approved,10,True,
2026_G_0622_NewEgy,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T01:00:00+00:00,shadow,11,True,
2026_G_0622_NewEgy,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T01:00:00+00:00,shadow,12,True,
2026_G_0622_NewEgy,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T01:00:00+00:00,shadow,13,True,
2026_G_0622_NewEgy,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T01:00:00+00:00,shadow,14,True,
2026_J_0622_ArgAus,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T17:00:00+00:00,approved,15,True,
2026_J_0622_ArgAus,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T17:00:00+00:00,shadow,16,True,
2026_J_0622_ArgAus,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T17:00:00+00:00,shadow,17,True,
2026_J_0622_ArgAus,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T17:00:00+00:00,shadow,18,True,
2026_J_0622_ArgAus,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T17:00:00+00:00,shadow,19,True,
2026_I_0622_FraIra,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T21:00:00+00:00,approved,20,True,
2026_I_0622_FraIra,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T21:00:00+00:00,shadow,21,True,
2026_I_0622_FraIra,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T21:00:00+00:00,shadow,22,True,
2026_I_0622_FraIra,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T21:00:00+00:00,shadow,23,True,
2026_I_0622_FraIra,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-22T21:00:00+00:00,shadow,24,True,
2026_I_0623_NorSen,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T00:00:00+00:00,approved,25,True,
2026_I_0623_NorSen,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T00:00:00+00:00,shadow,26,True,
2026_I_0623_NorSen,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T00:00:00+00:00,shadow,27,True,
2026_I_0623_NorSen,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T00:00:00+00:00,shadow,28,True,
2026_I_0623_NorSen,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T00:00:00+00:00,shadow,29,True,
2026_J_0623_JorAlg,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T03:00:00+00:00,approved,30,True,
2026_J_0623_JorAlg,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T03:00:00+00:00,shadow,31,True,
2026_J_0623_JorAlg,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T03:00:00+00:00,shadow,32,True,
2026_J_0623_JorAlg,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T03:00:00+00:00,shadow,33,True,
2026_J_0623_JorAlg,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T03:00:00+00:00,shadow,34,True,
2026_K_0623_PorUzb,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T17:00:00+00:00,approved,35,True,
2026_K_0623_PorUzb,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T17:00:00+00:00,shadow,36,True,
2026_K_0623_PorUzb,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T17:00:00+00:00,shadow,37,True,
2026_K_0623_PorUzb,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T17:00:00+00:00,shadow,38,True,
2026_K_0623_PorUzb,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T17:00:00+00:00,shadow,39,True,
2026_L_0623_EngGha,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T20:00:00+00:00,approved,40,True,
2026_L_0623_EngGha,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T20:00:00+00:00,shadow,41,True,
2026_L_0623_EngGha,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T20:00:00+00:00,shadow,42,True,
2026_L_0623_EngGha,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T20:00:00+00:00,shadow,43,True,
2026_L_0623_EngGha,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T20:00:00+00:00,shadow,44,True,
2026_L_0623_PanCro,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T23:00:00+00:00,approved,45,True,
2026_L_0623_PanCro,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T23:00:00+00:00,shadow,46,True,
2026_L_0623_PanCro,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T23:00:00+00:00,shadow,47,True,
2026_L_0623_PanCro,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T23:00:00+00:00,shadow,48,True,
2026_L_0623_PanCro,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-23T23:00:00+00:00,shadow,49,True,
2026_K_0624_ColCon,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T02:00:00+00:00,approved,50,True,
2026_K_0624_ColCon,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T02:00:00+00:00,shadow,51,True,
2026_K_0624_ColCon,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T02:00:00+00:00,shadow,52,True,
2026_K_0624_ColCon,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T02:00:00+00:00,shadow,53,True,
2026_K_0624_ColCon,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T02:00:00+00:00,shadow,54,True,
2026_B_0624_BosQat,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T19:00:00+00:00,approved,55,True,
2026_B_0624_SwiCan,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T19:00:00+00:00,approved,56,True,
2026_B_0624_SwiCan,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T19:00:00+00:00,shadow,57,True,
2026_B_0624_SwiCan,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T19:00:00+00:00,shadow,58,True,
2026_B_0624_SwiCan,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T19:00:00+00:00,shadow,59,True,
2026_B_0624_SwiCan,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T19:00:00+00:00,shadow,60,True,
2026_C_0624_MorHai,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,approved,61,True,
2026_C_0624_MorHai,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,shadow,62,True,
2026_C_0624_MorHai,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,shadow,63,True,
2026_C_0624_MorHai,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,shadow,64,True,
2026_C_0624_MorHai,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,shadow,65,True,
2026_C_0624_ScoBra,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,approved,66,True,
2026_C_0624_ScoBra,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,shadow,67,True,
2026_C_0624_ScoBra,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,shadow,68,True,
2026_C_0624_ScoBra,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,shadow,69,True,
2026_C_0624_ScoBra,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-24T22:00:00+00:00,shadow,70,True,
2026_A_0625_CzeMex,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,approved,71,True,
2026_A_0625_CzeMex,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T01:00:00+00:00,shadow,72,True,
