source_match_id,competition_label,kickoff_date,target_wdl,reg_home_goals,reg_away_goals,n_snapshots,n_events,in_cohort
3788741,UEFA Euro 2020,2021-06-11,A,0,3,142,3803,1
3788742,UEFA Euro 2020,2021-06-12,A,0,1,138,3488,1
3788743,UEFA Euro 2020,2021-06-12,H,3,0,99,3856,1
3788744,UEFA Euro 2020,2021-06-12,D,1,1,128,2996,1
3788745,UEFA Euro 2020,2021-06-13,H,1,0,87,3366,1
3788746,UEFA Euro 2020,2021-06-13,H,3,2,129,3969,1
3788747,UEFA Euro 2020,2021-06-13,H,3,1,106,3464,1
3788748,UEFA Euro 2020,2021-06-14,A,0,2,147,3440,1
3788749,UEFA Euro 2020,2021-06-14,A,1,2,128,3628,1
3788750,UEFA Euro 2020,2021-06-14,D,0,0,132,3677,1
3788751,UEFA Euro 2020,2021-06-15,H,1,0,105,4031,1
3788752,UEFA Euro 2020,2021-06-15,A,0,2,122,3709,1
3857254,FIFA World Cup 2022,2022-11-22,D,0,0,120,3680,1
3857255,FIFA World Cup 2022,2022-12-01,H,2,1,105,4450,1
3857256,FIFA World Cup 2022,2022-12-02,A,2,3,120,3210,1
3857257,FIFA World Cup 2022,2022-11-30,H,1,0,135,3594,1
3857258,FIFA World Cup 2022,2022-11-24,H,2,0,138,3656,1
3857259,FIFA World Cup 2022,2022-11-28,D,3,3,149,3270,1
3857260,FIFA World Cup 2022,2022-11-30,A,0,2,132,2912,1
3857261,FIFA World Cup 2022,2022-11-29,A,0,3,110,3315,1
3857262,FIFA World Cup 2022,2022-12-02,D,1,1,117,3378,1
3857263,FIFA World Cup 2022,2022-11-27,D,1,1,117,3603,1
3857264,FIFA World Cup 2022,2022-11-30,A,0,2,137,4052,1
3857265,FIFA World Cup 2022,2022-11-22,D,0,0,118,3184,1
3930158,UEFA Euro 2024,2024-06-14,H,4,1,112,3372,1
3930159,UEFA Euro 2024,2024-06-15,A,1,2,117,3370,1
3930160,UEFA Euro 2024,2024-06-15,H,3,0,113,3793,1
3930161,UEFA Euro 2024,2024-06-15,H,2,1,120,4066,1
3930162,UEFA Euro 2024,2024-06-16,D,1,1,140,3509,1
3930163,UEFA Euro 2024,2024-06-16,A,0,1,92,3920,1
3930164,UEFA Euro 2024,2024-06-17,A,0,1,127,3543,1
3930165,UEFA Euro 2024,2024-06-17,A,0,1,124,3718,1
3930166,UEFA Euro 2024,2024-06-18,D,1,1,148,3610,1
3930167,UEFA Euro 2024,2024-06-19,H,2,1,149,3719,1
3930168,UEFA Euro 2024,2024-06-19,H,2,0,155,3880,1
3930169,UEFA Euro 2024,2024-06-19,D,1,1,116,3130,1
3939969,Copa America 2024,2024-06-21,H,2,0,134,3619,1
3939970,Copa America 2024,2024-06-22,D,0,0,110,3212,1
3939971,Copa America 2024,2024-06-23,H,1,0,157,3308,1
3939972,Copa America 2024,2024-06-22,A,1,2,130,3038,1
3939973,Copa America 2024,2024-06-24,H,2,0,147,2995,1
3939974,Copa America 2024,2024-06-23,H,2,0,139,3398,1
3939975,Copa America 2024,2024-06-24,H,2,1,108,2994,1
3939976,Copa America 2024,2024-06-25,D,0,0,146,3697,1
3939977,Copa America 2024,2024-06-26,A,0,1,116,3653,1
3939979,Copa America 2024,2024-06-27,H,1,0,128,3264,1
7525,FIFA World Cup 2018,2018-06-14,H,3,0,106,3318,1
7529,FIFA World Cup 2018,2018-06-16,H,2,0,137,3320,1
7530,FIFA World Cup 2018,2018-06-16,H,2,1,94,3472,1
7531,FIFA World Cup 2018,2018-06-16,D,1,1,173,3599,1
7532,FIFA World Cup 2018,2018-06-16,A,0,1,151,3097,1
7533,FIFA World Cup 2018,2018-06-17,D,1,1,134,4010,1
7534,FIFA World Cup 2018,2018-06-17,A,0,1,177,3704,1
7535,FIFA World Cup 2018,2018-06-17,A,0,1,137,3183,1
7536,FIFA World Cup 2018,2018-06-18,H,3,0,128,3662,1
7537,FIFA World Cup 2018,2018-06-18,D,1,1,113,3548,1
7538,FIFA World Cup 2018,2018-06-18,H,1,0,126,3117,1
7539,FIFA World Cup 2018,2018-06-19,A,1,2,111,3457,1
