column,family,source_coverage,gate_keeps,everywhere_unavailable
goals_diff,reference_state,1.0,True,False
remaining_regulation_min,reference_state,1.0,True,False
snapshot_minute,reference_state,1.0,True,False
period,reference_state,1.0,True,False
players_diff,reference_state,1.0,True,False
cum_xg_home,recent_chance,0.9498,True,False
cum_xg_away,recent_chance,0.9498,True,False
cum_xg_diff,recent_chance,0.9498,True,False
cum_xg_total,recent_chance,0.9498,True,False
xg_last1m_diff,recent_chance,0.9498,True,False
xg_last2m_diff,recent_chance,0.9498,True,False
xg_last5m_diff,recent_chance,0.9498,True,False
xg_last10m_diff,recent_chance,0.9498,True,False
xg_last15m_diff,recent_chance,0.9498,True,False
xg_current_half_diff,recent_chance,0.9498,True,False
xg_momentum_diff_10m,recent_chance,0.9498,True,False
xg_acceleration_diff,recent_chance,0.9498,True,False
shots_diff,recent_chance,1.0,True,False
shots_on_target_diff,recent_chance,1.0,True,False
shots_last5m_home,recent_chance,1.0,True,False
shots_last5m_away,recent_chance,1.0,True,False
shots_last10m_home,recent_chance,1.0,True,False
shots_last10m_away,recent_chance,1.0,True,False
min_since_last_shot_any,recent_chance,0.9498,True,False
min_since_last_shot_home,recent_chance,0.8909,True,False
min_since_last_shot_away,recent_chance,0.8806,True,False
min_since_major_chance,recent_chance,0.7291,True,False
poss_share_home,possession_territory,0.9989,True,False
poss_share_diff,possession_territory,0.9989,True,False
final_third_actions_diff,possession_territory,1.0,True,False
field_tilt_home,possession_territory,0.9913,True,False
box_entries_home,possession_territory,1.0,True,False
box_entries_away,possession_territory,1.0,True,False
box_entries_diff,possession_territory,1.0,True,False
recoveries_diff,transition,1.0,True,False
turnovers_diff,transition,1.0,True,False
recoveries_home,transition,1.0,True,False
recoveries_away,transition,1.0,True,False
turnovers_home,transition,1.0,True,False
turnovers_away,transition,1.0,True,False
corners_home,set_pieces,1.0,True,False
corners_away,set_pieces,1.0,True,False
corners_diff,set_pieces,1.0,True,False
att_free_kicks_home,set_pieces,1.0,True,False
att_free_kicks_away,set_pieces,1.0,True,False
att_free_kicks_diff,set_pieces,1.0,True,False
yellow_diff,quality_availability,1.0,True,False
sendoff_diff,quality_availability,1.0,True,False
subs_used_diff,quality_availability,1.0,True,False
yellow_home,quality_availability,1.0,True,False
yellow_away,quality_availability,1.0,True,False
sendoff_home,quality_availability,1.0,True,False
sendoff_away,quality_availability,1.0,True,False
n_events_observed,quality_availability,1.0,True,False
