model_id,verdict,reason,reference_oos_metric,model_oos_metric,labels
research.residual.w2_reference_r0,reference_only,parameter-free W2 remaining-time Poisson REFERENCE,0.14906,0.14906,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.residual.intensity_glm_r1,reference_only,OOS LOCO rps=0.17193 / FC rps=0.19068 vs r0=0.14906; bootstrap_favors=False; fold_win_frac=0.2; cal_ok=False,0.14906,0.17193,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.residual.competing_risk_r2,data_insufficient,no out-of-sample RPS (no builder/artifact for this model in this run),0.14906,,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.residual.event_process_boost_r3,reference_only,OOS LOCO rps=0.16356 / FC rps=0.16722 vs r0=0.14906; bootstrap_favors=False; fold_win_frac=0.4; cal_ok=False,0.14906,0.16356,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.residual.selective_correction_r4,reference_only,OOS LOCO rps=0.15394 / FC rps=0.15767 vs r0=0.14906; bootstrap_favors=False; fold_win_frac=0.0; cal_ok=True,0.14906,0.15394,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.residual.calibrated_simulation_r5,reference_only,OOS LOCO rps=0.17193 / FC rps=0.19059 vs r0=0.14906; bootstrap_favors=False; fold_win_frac=0.2; cal_ok=False,0.14906,0.17193,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.residual.club_auxiliary_transfer_r6,data_insufficient,no out-of-sample RPS (no builder/artifact for this model in this run),0.14906,,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.intensity.w2_home_away_i0,reference_only,parameter-free W2 home/away REFERENCE intensities,0.97004,0.97004,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.intensity.event_residual_home_away_i1,rejected,OOS Poisson dev_mean=1.63447 vs i0=0.97004; beats_ref=False,0.97004,1.63447,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.intensity.regime_specific_i2,rejected,OOS Poisson dev_mean=0.97466 vs i0=0.97004; beats_ref=False,0.97004,0.97466,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.intensity.club_transfer_i3,data_insufficient,no out-of-sample intensity deviance (no builder/club rows for this model),0.97004,,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.horizon.w2_implied_h0,reference_only,parameter-free W2-implied near-term scoring REFERENCE,0.21614,0.21614,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.horizon.xg_residual_h1,rejected,beats h0 on Brier in >=1 horizon=False; worst candidate Brier=0.22638 vs ref=0.21614,0.21614,0.22638,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.horizon.possession_transition_h2,rejected,beats h0 on Brier in >=1 horizon=False; worst candidate Brier=0.22414 vs ref=0.21614,0.21614,0.22414,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.horizon.full_event_process_h3,rejected,beats h0 on Brier in >=1 horizon=False; worst candidate Brier=0.24493 vs ref=0.21614,0.21614,0.24493,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
research.horizon.selective_gate_h4,rejected,beats h0 on Brier in >=1 horizon=False; worst candidate Brier=0.24493 vs ref=0.21614,0.21614,0.24493,research_only/experimental/not_runtime_approved/not_trade_eligible/not_live_eligible
