match_id,snapshot_time,book,odds_a,odds_draw,odds_b,closing,notes
2026_A_01,2026-06-10T19:00:00+00:00,seed_demo_not_real_odds,1.44,4.99,6.07,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_A_02,2026-06-11T19:00:00+00:00,seed_demo_not_real_odds,2.34,3.2,3.12,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_A_03,2026-06-17T16:00:00+00:00,seed_demo_not_real_odds,2.1,3.34,3.52,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_A_04,2026-06-18T01:00:00+00:00,seed_demo_not_real_odds,1.99,3.44,3.75,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_A_05,2026-06-24T01:00:00+00:00,seed_demo_not_real_odds,4.41,3.8,1.75,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_A_06,2026-06-24T01:00:00+00:00,seed_demo_not_real_odds,4.13,3.64,1.84,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_B_01,2026-06-11T22:00:00+00:00,seed_demo_not_real_odds,2.07,3.36,3.58,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_B_02,2026-06-12T22:00:00+00:00,seed_demo_not_real_odds,5.63,4.65,1.5,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_C_01,2026-06-12T19:00:00+00:00,seed_demo_not_real_odds,1.44,4.99,6.07,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_C_02,2026-06-12T22:00:00+00:00,seed_demo_not_real_odds,1.96,3.47,3.81,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_D_01,2026-06-13T22:00:00+00:00,seed_demo_not_real_odds,1.62,4.17,4.97,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_D_02,2026-06-13T19:00:00+00:00,seed_demo_not_real_odds,2.94,3.17,2.47,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_E_01,2026-06-14T19:00:00+00:00,seed_demo_not_real_odds,1.03,31.98,25.39,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_F_01,2026-06-14T22:00:00+00:00,seed_demo_not_real_odds,2.04,3.39,3.63,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_G_01,2026-06-15T19:00:00+00:00,seed_demo_not_real_odds,1.31,6.12,7.39,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_G_02,2026-06-15T22:00:00+00:00,seed_demo_not_real_odds,1.53,4.5,5.43,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_H_01,2026-06-16T19:00:00+00:00,seed_demo_not_real_odds,1.03,57.6,36.39,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_H_02,2026-06-16T22:00:00+00:00,seed_demo_not_real_odds,7.7,6.4,1.29,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_I_01,2026-06-15T18:00:00+00:00,seed_demo_not_real_odds,1.18,8.66,9.97,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_I_02,2026-06-15T21:00:00+00:00,seed_demo_not_real_odds,4.88,4.11,1.63,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_I_03,2026-06-21T21:00:00+00:00,seed_demo_not_real_odds,1.03,34.77,26.77,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_I_04,2026-06-22T00:00:00+00:00,seed_demo_not_real_odds,2.77,3.15,2.62,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_I_05,2026-06-25T19:00:00+00:00,seed_demo_not_real_odds,10.43,9.15,1.17,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_I_06,2026-06-25T19:00:00+00:00,seed_demo_not_real_odds,1.6,4.23,5.05,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_J_01,2026-06-16T18:00:00+00:00,seed_demo_not_real_odds,1.09,13.6,14.15,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_K_01,2026-06-16T22:00:00+00:00,seed_demo_not_real_odds,1.11,12.35,13.16,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_K_02,2026-06-17T20:00:00+00:00,seed_demo_not_real_odds,8.93,7.58,1.23,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_L_01,2026-06-17T16:00:00+00:00,seed_demo_not_real_odds,1.84,3.64,4.13,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
2026_L_02,2026-06-17T19:00:00+00:00,seed_demo_not_real_odds,1.65,4.05,4.8,False,Demo odds generated from seed ratings. Replace with real bookmaker odds before any edge scan.
